equipment,manufacturer,unit,state,state_full,city,lat,lng,population_quantity
RAIO X,KONICA MINOLTA,UPA ZONA NORTE,AP,Amapá,Macapá,0.04,-51.070534,487200.0
IMPRESSORA,KONICA MINOLTA,HOSPITAL DA MULHER MAE LUZIA,AP,Amapá,Macapá,0.0344566,-51.0666,487200.0
ULTRASSOM,CANON,HOSPITAL DA MULHER MAE LUZIA,AP,Amapá,Macapá,0.0344566,-51.0666,487200.0
RAIO X MÓVEL,KONICA MINOLTA,HOSPITAL DA MULHER MAE LUZIA,AP,Amapá,Macapá,0.0344566,-51.0666,487200.0
DR,KONICA MINOLTA,HOSPITAL DA MULHER MAE LUZIA,AP,Amapá,Macapá,0.0344566,-51.0666,487200.0
DR,CANON,HOSPITAL DA MULHER MAE LUZIA,AP,Amapá,Macapá,0.0344566,-51.0666,487200.0
NOTEBOOK,LENOVO,HOSPITAL DA MULHER MAE LUZIA,AP,Amapá,Macapá,0.0344566,-51.0666,487200.0
DR,KONICA MINOLTA,HOSPITAL DA MULHER MAE LUZIA,AP,Amapá,Macapá,0.0344566,-51.0666,487200.0
CONSOLE CR ou DR,FUJIFILM,HOSPITAL DE CLINICAS DR ALBERTO LIMA,AP,Amapá,Macapá,0.0344566,-51.0666,487200.0
TOMOGRAFIA COMPUTADORIZADA,CANON,HOSPITAL DE CLINICAS DR ALBERTO LIMA,AP,Amapá,Macapá,0.0344566,-51.0666,487200.0
IMPRESSORA,KONICA MINOLTA,HOSPITAL DE CLINICAS DR ALBERTO LIMA,AP,Amapá,Macapá,0.0344566,-51.0666,487200.0
ARCO CIRURGICO,SIEMENS,HOSPITAL DE CLINICAS DR ALBERTO LIMA,AP,Amapá,Macapá,0.0344566,-51.0666,487200.0
ULTRASSOM,CANON,HOSPITAL DE CLINICAS DR ALBERTO LIMA,AP,Amapá,Macapá,0.0344566,-51.0666,487200.0
RAIO X MÓVEL,KONICA MINOLTA,HOSPITAL DE CLINICAS DR ALBERTO LIMA,AP,Amapá,Macapá,0.0344566,-51.0666,487200.0
MAMOGRAFIA,KONICA MINOLTA,HOSPITAL DE CLINICAS DR ALBERTO LIMA,AP,Amapá,Macapá,0.0344566,-51.0666,487200.0
DR,KONICA MINOLTA,HOSPITAL DE CLINICAS DR ALBERTO LIMA,AP,Amapá,Macapá,0.0344566,-51.0666,487200.0
ARCO CIRURGICO,VMI,HOSPITAL DE CLINICAS DR ALBERTO LIMA,AP,Amapá,Macapá,0.0344566,-51.0666,487200.0
ARCO CIRURGICO,VMI TECNOLOGIAS,HOSPITAL DE CLINICAS DR ALBERTO LIMA,AP,Amapá,Macapá,0.0344566,-51.0666,487200.0
RAIO X,KONICA MINOLTA,HOSPITAL DE CLINICAS DR ALBERTO LIMA,AP,Amapá,Macapá,0.0344566,-51.0666,487200.0
ULTRASSOM,CANON,HOSPITAL DE CLINICAS DR ALBERTO LIMA,AP,Amapá,Macapá,0.0344566,-51.0666,487200.0
CONSOLE CR ou DR,KONICA MINOLTA,HOSPITAL DE CLINICAS DR ALBERTO LIMA,AP,Amapá,Macapá,0.0344566,-51.0666,487200.0
RESSONANCIA,CANON,HOSPITAL DE CLINICAS DR ALBERTO LIMA,AP,Amapá,Macapá,0.0344566,-51.0666,487200.0
ARCO CIRURGICO,SIEMENS,HOSPITAL DE EMERGENCIA OSVALDO CRUZ,AP,Amapá,Macapá,0.0344566,-51.0666,487200.0
IMPRESSORA,KONICA MINOLTA,HOSPITAL DE EMERGENCIA OSVALDO CRUZ,AP,Amapá,Macapá,0.0344566,-51.0666,487200.0
ULTRASSOM,CANON,HOSPITAL DE EMERGENCIA OSVALDO CRUZ,AP,Amapá,Macapá,0.0344566,-51.0666,487200.0
RAIO X MÓVEL,KONICA MINOLTA,HOSPITAL DE EMERGENCIA OSVALDO CRUZ,AP,Amapá,Macapá,0.0344566,-51.0666,487200.0
DR,KONICA MINOLTA,HOSPITAL DE EMERGENCIA OSVALDO CRUZ,AP,Amapá,Macapá,0.0344566,-51.0666,487200.0
DR,CANON,HOSPITAL DE EMERGENCIA OSVALDO CRUZ,AP,Amapá,Macapá,0.0344566,-51.0666,487200.0
RAIO X,KONICA MINOLTA,HOSPITAL DE EMERGENCIA OSVALDO CRUZ,AP,Amapá,Macapá,0.0344566,-51.0666,487200.0
DR,KONICA MINOLTA,HOSPITAL DE EMERGENCIA OSVALDO CRUZ,AP,Amapá,Macapá,0.0344566,-51.0666,487200.0
ULTRASSOM,CANON,HOSPITAL DE EMERGENCIA OSVALDO CRUZ,AP,Amapá,Macapá,0.0344566,-51.0666,487200.0
CONSOLE CR ou DR,KONICA MINOLTA,HOSPITAL DE EMERGENCIA OSVALDO CRUZ,AP,Amapá,Macapá,0.0344566,-51.0666,487200.0
ARCO CIRURGICO,VMI,HOSPITAL DE EMERGENCIA OSVALDO CRUZ,AP,Amapá,Macapá,0.0344566,-51.0666,487200.0
TOMOGRAFIA COMPUTADORIZADA,CANON,HOSPITAL DE EMERGENCIA OSVALDO CRUZ,AP,Amapá,Macapá,0.0344566,-51.0666,487200.0
DR,CANON,HOSPITAL DE VITORIA DO JARI,AP,Amapá,VITORIA DO JARI,-1.0173634,-52.106335,11922.0
RAIO X MÓVEL,VMI,Hospital Estadual de Laranjal do Jari,AP,Amapá,Laranjal do Jari,-0.846413,-52.5261,37969.0
RAIO X,KONICA MINOLTA,Hospital Estadual de Laranjal do Jari,AP,Amapá,Laranjal do Jari,-0.846413,-52.5261,37969.0
ULTRASSOM,CANON,Hospital Estadual de Laranjal do Jari,AP,Amapá,Laranjal do Jari,-0.846413,-52.5261,37969.0
ARCO CIRURGICO,VMI,Hospital Estadual de Laranjal do Jari,AP,Amapá,Laranjal do Jari,-0.846413,-52.5261,37969.0
CONSOLE CR ou DR,KONICA MINOLTA,Hospital Estadual de Laranjal do Jari,AP,Amapá,Laranjal do Jari,-0.846413,-52.5261,37969.0
ARCO CIRURGICO,VMI,HOSPITAL ESTADUAL DE OIAPOQUE,AP,Amapá,Oiapoque,3.8431,-51.835,30481.0
TOMOGRAFIA COMPUTADORIZADA,CANON,HOSPITAL ESTADUAL DE OIAPOQUE,AP,Amapá,Oiapoque,3.8431,-51.835,30481.0
