state,state_full,city,lat,lng,central,unit,population_quantity
PI,Piauí,PARNAÍBA,-29.046,-417.754,3,ed6106f0,169552.0
PI,Piauí,PARNAÍBA,-2.905,-41.776,9,8c437938,169552.0
PI,Piauí,LUÍS CORREA,-28.765,-416.654,8,43e0e83d,30641.0
MA,Maranhão,BALSAS,-75.331.351,-460.364.165,8,611df50f,106094.0
PI,Piauí,PARNAÍBA,-29.179.082,-417.375.484,8,9c5d1b29,169552.0
BA,Bahia,CASA NOVA,-91.644,-409.722,8,ca508451,75815.0
PI,Piauí,COCAL,-34.728,-415.546,8,efaf3bc8,29209.0
MA,Maranhão,DUQUE BACELAR,-41.519,-429.472,8,f0cd25fb,10448.0
MA,Maranhão,FORTALEZA DOS NOGUEIRAS,-69.639,-461.747,8,3b6ccd02,12951.0
PI,Piauí,PICOS,-70.875.021,-414.788.246,8,370d8cdb,86228.0
MA,Maranhão,TIMON,-50.882.609,-428.353.204,8,400af2ca,182241.0
MA,Maranhão,TUNTUM,-52.547,-446.489,8,5a78a8fa,37401.0
MA,Maranhão,SÃO BERNARDO,-33.619,-424.178,8,0fc1b994,27887.0
MA,Maranhão,TRIZIDELA DO VALE,-45.383,-446.283,8,f0006d0a,23052.0
MA,Maranhão,TIMON,-50.882.609,-428.353.204,8,675c1850,182241.0
MA,Maranhão,TUNTUM,-52.606.389,-446.427.294,8,a07a4353,37401.0
MA,Maranhão,ALTO ALEGRE DO PINDARÉ,-36.667,-458.417,8,eefa1931,26411.0
MA,Maranhão,SÃO RAIMUNDO DAS MANGABEIRAS,-70.250.985,-454.791.671,8,2765ab0c,19129.0
MA,Maranhão,TIMON,-50.936,-428.369,8,eed3b52f,182241.0
MA,Maranhão,IGARAPÉ GRANDE,-46.625,-448.558,8,2d9cb964,10463.0
MA,Maranhão,BARRA DO CORDA,-54.979.536,-452.566.138,8,8b54a35b,87672.0
PI,Piauí,TERESINA,-50.911.449,-428.104.583,8,2fb17c77,902644.0
PI,Piauí,RIO GRANDE DO PIAUÍ,-52.647,-431.486,8,f94c130f,5868.0
PI,Piauí,PIRIPIRI,-42.736,-417.769,8,92ec1546,67676.0
PI,Piauí,URUÇUÍ,-72.376.869,-445.548.649,8,bd4e9f0f,26501.0
MA,Maranhão,BONS PASTOS,-6.620.945,-441.147.245,8,b1cda1ea,18802.0
PI,Piauí,URUÇUÍ,-72.294,-445.558,8,d509cea3,26501.0
RS,Rio Grande do Sul,PORTO ALEGRE,-300.346,-512.177,8,7dda7d8b,1389322.0
RS,Rio Grande do Sul,PORTO ALEGRE,-300.346,-512.177,8,2e09948b,1389322.0
RS,Rio Grande do Sul,PORTO ALEGRE,-300.346,-512.177,8,3f0379ff,1389322.0
PI,Piauí,TERESINA,-50.883.941,-428.027.872,8,07513aa0,902644.0
MA,Maranhão,TIMON,-50.936,-428.369,18,64f7d531,182241.0
