equipment,manufacturer,unit,state,state_full,city,lat,lng
RAIO X,KONICA MINOLTA,UPA ZONA NORTE,AP,Amapá,Macapá,0.04,-51.070534
IMPRESSORA,KONICA MINOLTA,HOSPITAL DA MULHER MAE LUZIA,AP,Amapá,Macapá,0.0344566,-51.0666
ULTRASSOM,CANON,HOSPITAL DA MULHER MAE LUZIA,AP,Amapá,Macapá,0.0344566,-51.0666
RAIO X MÓVEL,KONICA MINOLTA,HOSPITAL DA MULHER MAE LUZIA,AP,Amapá,Macapá,0.0344566,-51.0666
DR,KONICA MINOLTA,HOSPITAL DA MULHER MAE LUZIA,AP,Amapá,Macapá,0.0344566,-51.0666
DR,CANON,HOSPITAL DA MULHER MAE LUZIA,AP,Amapá,Macapá,0.0344566,-51.0666
NOTEBOOK,LENOVO,HOSPITAL DA MULHER MAE LUZIA,AP,Amapá,Macapá,0.0344566,-51.0666
DR,KONICA MINOLTA,HOSPITAL DA MULHER MAE LUZIA,AP,Amapá,Macapá,0.0344566,-51.0666
CONSOLE CR ou DR,FUJIFILM,HOSPITAL DE CLINICAS DR ALBERTO LIMA,AP,Amapá,Macapá,0.0344566,-51.0666
TOMOGRAFIA COMPUTADORIZADA,CANON,HOSPITAL DE CLINICAS DR ALBERTO LIMA,AP,Amapá,Macapá,0.0344566,-51.0666
IMPRESSORA,KONICA MINOLTA,HOSPITAL DE CLINICAS DR ALBERTO LIMA,AP,Amapá,Macapá,0.0344566,-51.0666
ARCO CIRURGICO,SIEMENS,HOSPITAL DE CLINICAS DR ALBERTO LIMA,AP,Amapá,Macapá,0.0344566,-51.0666
ULTRASSOM,CANON,HOSPITAL DE CLINICAS DR ALBERTO LIMA,AP,Amapá,Macapá,0.0344566,-51.0666
RAIO X MÓVEL,KONICA MINOLTA,HOSPITAL DE CLINICAS DR ALBERTO LIMA,AP,Amapá,Macapá,0.0344566,-51.0666
MAMOGRAFIA,KONICA MINOLTA,HOSPITAL DE CLINICAS DR ALBERTO LIMA,AP,Amapá,Macapá,0.0344566,-51.0666
DR,KONICA MINOLTA,HOSPITAL DE CLINICAS DR ALBERTO LIMA,AP,Amapá,Macapá,0.0344566,-51.0666
ARCO CIRURGICO,VMI,HOSPITAL DE CLINICAS DR ALBERTO LIMA,AP,Amapá,Macapá,0.0344566,-51.0666
ARCO CIRURGICO,VMI TECNOLOGIAS,HOSPITAL DE CLINICAS DR ALBERTO LIMA,AP,Amapá,Macapá,0.0344566,-51.0666
RAIO X,KONICA MINOLTA,HOSPITAL DE CLINICAS DR ALBERTO LIMA,AP,Amapá,Macapá,0.0344566,-51.0666
ULTRASSOM,CANON,HOSPITAL DE CLINICAS DR ALBERTO LIMA,AP,Amapá,Macapá,0.0344566,-51.0666
CONSOLE CR ou DR,KONICA MINOLTA,HOSPITAL DE CLINICAS DR ALBERTO LIMA,AP,Amapá,Macapá,0.0344566,-51.0666
RESSONANCIA,CANON,HOSPITAL DE CLINICAS DR ALBERTO LIMA,AP,Amapá,Macapá,0.0344566,-51.0666
ARCO CIRURGICO,SIEMENS,HOSPITAL DE EMERGENCIA OSVALDO CRUZ,AP,Amapá,Macapá,0.0344566,-51.0666
IMPRESSORA,KONICA MINOLTA,HOSPITAL DE EMERGENCIA OSVALDO CRUZ,AP,Amapá,Macapá,0.0344566,-51.0666
